question_id,enunciado,alternativas,comentarios,alternativa_correta,areas_principais,subtopicos,prova
513b55bd-b700-477f-a6ab-e957e3500553,Uma gestante de 38 semanas é submetida a uma avaliação de vitalidade fetal através do perfil biofísico fetal (PBF). Identifique os cinco parâmetros que compõem o escore do PBF e qual deles é o principal indicador de sofrimento fetal crônico.,"{""A"": ""Movimentos respirat\u00f3rios, t\u00f4nus, frequ\u00eancia card\u00edaca, movimentos corp\u00f3reos e Doppler de art\u00e9ria umbilical, sendo que o t\u00f4nus, quando alterado, sugere sofrimento fetal cr\u00f4nico."", ""B"": ""Movimentos respirat\u00f3rios, t\u00f4nus, reatividade da frequ\u00eancia card\u00edaca, movimentos corp\u00f3reos e \u00edndice de l\u00edquido amni\u00f3tico, sendo que o volume do l\u00edquido amni\u00f3tico, quando alterado, sugere sofrimento fetal cr\u00f4nico."", ""C"": ""Movimentos respirat\u00f3rios, t\u00f4nus, frequ\u00eancia card\u00edaca, movimentos corp\u00f3reos e Doppler de art\u00e9ria umbilical, sendo que os movimentos respirat\u00f3rios, quando alterados, sugerem sofrimento fetal cr\u00f4nico."", ""D"": ""Movimentos respirat\u00f3rios, t\u00f4nus, reatividade da frequ\u00eancia card\u00edaca, movimentos corp\u00f3reos e \u00edndice de l\u00edquido amni\u00f3tico, sendo que o t\u00f4nus, quando alterado, sugere sofrimento fetal cr\u00f4nico."", ""E"": ""T\u00f4nus, cardiotocografia basal, di\u00e2metro biparietal, \u00edndice de l\u00edquido amni\u00f3tico e circular de cord\u00e3o, sendo que a cardiotocografia, quando alterada, sugere sofrimento fetal cr\u00f4nico.""}","{""A"": ""Incorreta. O Doppler da art\u00e9ria umbilical \u00e9 um m\u00e9todo importante de avalia\u00e7\u00e3o da vitalidade fetal, mas n\u00e3o faz parte dos cinco par\u00e2metros do escore do Perfil Biof\u00edsico Fetal (PBF) de Manning. Al\u00e9m disso, a altera\u00e7\u00e3o do t\u00f4nus fetal \u00e9 um marcador de hipoxemia aguda, e n\u00e3o cr\u00f4nica."", ""B"": ""Correta. O PBF avalia cinco vari\u00e1veis: 1. Movimentos respirat\u00f3rios fetais; 2. Movimentos corp\u00f3reos fetais; 3. T\u00f4nus fetal; 4. Reatividade da frequ\u00eancia card\u00edaca fetal (avaliada na cardiotocografia); 5. Volume do l\u00edquido amni\u00f3tico. As quatro primeiras s\u00e3o marcadores agudos de hip\u00f3xia (alteram-se rapidamente). A redu\u00e7\u00e3o do l\u00edquido amni\u00f3tico (oligo\u00e2mnio) \u00e9 considerada um marcador de sofrimento fetal cr\u00f4nico, pois reflete uma redistribui\u00e7\u00e3o do fluxo sangu\u00edneo fetal que diminui a perfus\u00e3o renal e, consequentemente, a produ\u00e7\u00e3o de urina."", ""C"": ""Incorreta. O Doppler da art\u00e9ria umbilical n\u00e3o comp\u00f5e o PBF. Adicionalmente, a aus\u00eancia de movimentos respirat\u00f3rios fetais \u00e9 um marcador de sofrimento fetal agudo, sendo uma das primeiras vari\u00e1veis a se alterar, e n\u00e3o um indicador de cronicidade."", ""D"": ""Incorreta. Apesar de listar corretamente os par\u00e2metros do PBF, a alternativa erra ao associar a altera\u00e7\u00e3o do t\u00f4nus fetal ao sofrimento cr\u00f4nico. O t\u00f4nus fetal \u00e9 um marcador de eventos agudos de hipoxemia, sendo o \u00faltimo dos marcadores agudos a se alterar."", ""E"": ""Incorreta. Di\u00e2metro biparietal e circular de cord\u00e3o n\u00e3o fazem parte do escore do PBF. A cardiotocografia avalia a reatividade card\u00edaca e \u00e9 um marcador de hipoxemia aguda, n\u00e3o cr\u00f4nica.""}",B,Ginecologia e Obstetrícia,"Perfil Biofísico Fetal, Avaliação da Vitalidade Fetal, Sofrimento Fetal",sus-ba
d865c3a3-3525-4d3f-ba25-63200e044993,"Durante a avaliação da vitalidade fetal de uma gestante, o obstetra realiza um perfil biofísico fetal. O feto apresenta um episódio de movimento respiratório durando 35 segundos, múltiplos movimentos de membros, um episódio de extensão e flexão da coluna, reatividade cardíaca presente na cardiotocografia e o maior bolsão vertical de líquido amniótico mede 1,5 cm. Identifique a pontuação do perfil biofísico fetal nesse caso.","{""A"": ""4"", ""B"": ""6"", ""C"": ""8"", ""D"": ""10"", ""E"": ""2""}","{""A"": ""Incorreta. Uma pontua\u00e7\u00e3o de 4/10 indicaria a altera\u00e7\u00e3o de tr\u00eas dos cinco par\u00e2metros, representando um estado fetal gravemente comprometido e com alto risco de asfixia."", ""B"": ""Incorreta. Uma pontua\u00e7\u00e3o de 6/10 \u00e9 considerada equ\u00edvoca ou suspeita, indicando a altera\u00e7\u00e3o de dois par\u00e2metros. Neste caso, apenas um par\u00e2metro est\u00e1 alterado."", ""C"": ""Correta. A pontua\u00e7\u00e3o do PBF \u00e9 atribu\u00edda da seguinte forma (2 para normal, 0 para alterado): \n- Movimentos respirat\u00f3rios: Presentes (dura\u00e7\u00e3o > 30s) = 2 pontos. \n- Movimentos corp\u00f3reos: Presentes (\u2265 3) = 2 pontos. \n- T\u00f4nus fetal: Presente (\u2265 1 epis\u00f3dio de flex\u00e3o/extens\u00e3o) = 2 pontos. \n- Reatividade Card\u00edaca (CTG): Reativo = 2 pontos. \n- L\u00edquido Amni\u00f3tico: Normal (maior bols\u00e3o > 2 cm) = 0 pontos (pois o bols\u00e3o \u00e9 de 1,5 cm). \nSomando os pontos: 2 + 2 + 2 + 2 + 0 = 8. Uma pontua\u00e7\u00e3o de 8/10, com oligo\u00e2mnio, \u00e9 sugestiva de sofrimento fetal cr\u00f4nico."", ""D"": ""Incorreta. Para uma pontua\u00e7\u00e3o de 10/10, todos os cinco par\u00e2metros, incluindo o volume de l\u00edquido amni\u00f3tico, deveriam estar normais. No caso, o l\u00edquido amni\u00f3tico est\u00e1 reduzido (maior bols\u00e3o < 2 cm), caracterizando oligo\u00e2mnio."", ""E"": ""Incorreta. Uma pontua\u00e7\u00e3o de 2/10 indicaria a altera\u00e7\u00e3o de quatro dos cinco par\u00e2metros, um achado extremamente preocupante, indicativo de asfixia grave e iminente.""}",C,Ginecologia e Obstetrícia,"Perfil Biofísico Fetal, Avaliação da Vitalidade Fetal, Oligoâmnio",sus-ba
e743e9c0-37d4-4884-b0bc-d2e69e5895f2,"Gestante de 39 semanas, primigesta, em trabalho de parto, é submetida à cardiotocografia (CTG) de admissão, que evidencia um traçado com linha de base de 140 bpm, boa variabilidade, ausência de desacelerações, porém sem acelerações transitórias nos últimos 20 minutos. A conduta imediata indicada nesse caso, considerando o bem-estar fetal, é:","{""A"": ""Administrar ocitocina, para melhorar a ritmicidade das contra\u00e7\u00f5es uterinas."", ""B"": ""Prescrever misoprostol para melhor prepara\u00e7\u00e3o do colo."", ""C"": ""Realizar parto cesariano de emerg\u00eancia por sofrimento fetal."", ""D"": ""Realizar est\u00edmulo vibroac\u00fastico ou oferecer glicose venosa \u00e0 m\u00e3e e repetir a cardiotocografia."", ""E"": ""Aguardar mais 20 minutos, pois o feto pode estar em per\u00edodo de sono.""}","{""A"": ""Incorreta. A administra\u00e7\u00e3o de ocitocina visa a corre\u00e7\u00e3o de dist\u00f3cias funcionais (altera\u00e7\u00f5es da contratilidade) e s\u00f3 deve ser considerada ap\u00f3s a confirma\u00e7\u00e3o da vitalidade fetal. Induzi-la com um tra\u00e7ado duvidoso poderia agravar uma hip\u00f3xia subjacente."", ""B"": ""Incorreta. O misoprostol \u00e9 utilizado para a matura\u00e7\u00e3o do colo uterino antes da indu\u00e7\u00e3o do parto, n\u00e3o sendo uma conduta para avalia\u00e7\u00e3o da vitalidade fetal ou para um tra\u00e7ado cardiotocogr\u00e1fico n\u00e3o reativo."", ""C"": ""Incorreta. Um tra\u00e7ado n\u00e3o reativo (sem acelera\u00e7\u00f5es) isoladamente n\u00e3o \u00e9 diagn\u00f3stico de sofrimento fetal e n\u00e3o justifica uma cesariana de emerg\u00eancia. \u00c9 necess\u00e1rio primeiro tentar elucidar a reatividade fetal."", ""D"": ""Correta. Um tra\u00e7ado cardiotocogr\u00e1fico \u00e9 considerado n\u00e3o reativo se n\u00e3o apresentar pelo menos duas acelera\u00e7\u00f5es transit\u00f3rias (aumento de 15 bpm por 15s) em 20 minutos. A causa mais comum \u00e9 o sono fetal. Antes de classificar o tra\u00e7ado como preocupante, deve-se tentar 'acordar' o feto, seja por est\u00edmulo vibroac\u00fastico ou aumentando a glicemia materna (com glicose venosa ou oral), e ent\u00e3o reavaliar a CTG."", ""E"": ""Incorreta. Embora o sono fetal seja a causa mais prov\u00e1vel, a conduta padr\u00e3o n\u00e3o \u00e9 a simples espera passiva. Recomenda-se uma interven\u00e7\u00e3o ativa (est\u00edmulo) para confirmar a reatividade e excluir outras causas de forma mais eficiente.""}",D,Ginecologia e Obstetrícia,"Cardiotocografia, Avaliação da Vitalidade Fetal, Trabalho de Parto",sus-ba
22767004-8d3e-47e1-b4e4-f81b11ee1e68,"Primigesta de 28 anos realiza ultrassonografia morfológica de primeiro trimestre (12 semanas) que evidencia uma gestação gemelar. O laudo descreve a presença de duas vesículas vitelínicas, dois fetos e uma única massa placentária, com uma membrana amniótica fina que se insere na placenta formando um ângulo de 90 graus, o chamado 'sinal do T'. Diante dos dados apresentados, essa gestação é classificada como:","{""A"": ""Gemelar monocori\u00f4nica e monoamni\u00f3tica."", ""B"": ""Gemelar monocori\u00f4nica e diamni\u00f3tica."", ""C"": ""Gemelar dicori\u00f4nica e monoamni\u00f3tica."", ""D"": ""Gemelar dicori\u00f4nica e diamni\u00f3tica."", ""E"": ""Gesta\u00e7\u00e3o ect\u00f3pica heterot\u00f3pica.""}","{""A"": ""Incorreta. A gesta\u00e7\u00e3o monoamni\u00f3tica n\u00e3o apresentaria membrana divis\u00f3ria entre os fetos. O 'sinal do T' \u00e9 caracter\u00edstico da presen\u00e7a de uma membrana amni\u00f3tica, excluindo essa possibilidade."", ""B"": ""Correta. A presen\u00e7a de uma \u00fanica placenta indica que a gesta\u00e7\u00e3o \u00e9 monocori\u00f4nica (os fetos compartilham a mesma placenta). A presen\u00e7a de uma membrana amni\u00f3tica fina, que se insere em \u00e2ngulo reto ('sinal do T'), confirma que existem duas bolsas amni\u00f3ticas separadas, sendo, portanto, diamni\u00f3tica."", ""C"": ""Incorreta. A combina\u00e7\u00e3o 'dicori\u00f4nica e monoamni\u00f3tica' \u00e9 biologicamente imposs\u00edvel. Se h\u00e1 duas placentas (dicori\u00f4nica), obrigatoriamente haver\u00e1 duas bolsas amni\u00f3ticas (diamni\u00f3tica)."", ""D"": ""Incorreta. Uma gesta\u00e7\u00e3o dicori\u00f4nica (duas placentas) apresentaria o 'sinal de lambda' (ou 'twin peak sign'), que \u00e9 uma proje\u00e7\u00e3o de tecido placent\u00e1rio na base da membrana interamni\u00f3tica, e n\u00e3o o 'sinal do T'."", ""E"": ""Incorreta. A gesta\u00e7\u00e3o heterot\u00f3pica \u00e9 a ocorr\u00eancia simult\u00e2nea de uma gesta\u00e7\u00e3o intrauterina e uma extrauterina (ect\u00f3pica), o que n\u00e3o corresponde \u00e0 descri\u00e7\u00e3o de dois fetos dentro do \u00fatero.""}",B,Ginecologia e Obstetrícia,"Gestação Gemelar, Ultrassonografia Obstétrica, Corionicidade e Amnionicidade",sus-ba
1cf7ff52-b1aa-45a4-bbed-4c8b74a522c6,"Considerando uma gestação gemelar classificada como monocoriônica e diamniótica, com base neste achado ultrassonográfico, é correto afirmar sobre a zigozidade dos fetos:","{""A"": ""Os g\u00eameos s\u00e3o monozig\u00f3ticos e, com certeza, s\u00e3o id\u00eanticos."", ""B"": ""Os g\u00eameos s\u00e3o dizig\u00f3ticos e podem ou n\u00e3o ser id\u00eanticos."", ""C"": ""Os g\u00eameos com certeza n\u00e3o s\u00e3o id\u00eanticos."", ""D"": ""Os g\u00eameos s\u00e3o monozig\u00f3ticos, mas podem ou n\u00e3o ser id\u00eanticos."", ""E"": ""A zigozidade n\u00e3o pode ser determinada pela corionicidade.""}","{""A"": ""Correta. Uma gesta\u00e7\u00e3o monocori\u00f4nica (uma \u00fanica placenta) resulta da divis\u00e3o de um \u00fanico zigoto (\u00f3vulo fertilizado por um espermatozoide). Portanto, os g\u00eameos s\u00e3o obrigatoriamente monozig\u00f3ticos e compartilham o mesmo material gen\u00e9tico, sendo id\u00eanticos."", ""B"": ""Incorreta. G\u00eameos dizig\u00f3ticos (fraternos) resultam da fertiliza\u00e7\u00e3o de dois \u00f3vulos por dois espermatozoides diferentes. Isso sempre levar\u00e1 a uma gesta\u00e7\u00e3o dicori\u00f4nica (duas placentas)."", ""C"": ""Incorreta. Como s\u00e3o monozig\u00f3ticos, eles s\u00e3o geneticamente id\u00eanticos. A afirma\u00e7\u00e3o de que n\u00e3o s\u00e3o id\u00eanticos est\u00e1 errada."", ""D"": ""Incorreta. A defini\u00e7\u00e3o de monozig\u00f3tico implica que eles se originaram do mesmo zigoto, tornando-os geneticamente id\u00eanticos. N\u00e3o h\u00e1 possibilidade de serem monozig\u00f3ticos e n\u00e3o id\u00eanticos."", ""E"": ""Incorreta. A corionicidade \u00e9 o melhor preditor precoce da zigozidade. Gesta\u00e7\u00f5es monocori\u00f4nicas s\u00e3o sempre monozig\u00f3ticas. Gesta\u00e7\u00f5es dicori\u00f4nicas s\u00e3o majoritariamente dizig\u00f3ticas, embora uma pequena fra\u00e7\u00e3o possa ser monozig\u00f3tica (se a divis\u00e3o do zigoto ocorrer muito precocemente).""}",A,"Ginecologia e Obstetrícia, Genética Médica","Gestação Gemelar, Zigozidade, Corionicidade e Amnionicidade",sus-ba
0c67d3ec-9a3a-4e07-8400-59f95129807b,"Se, no exame ultrassonográfico de uma gestação gemelar no primeiro trimestre, ao invés do 'sinal do T', fosse visualizado o 'sinal de lambda' (ou 'twin peak sign'), a paciente estaria diante de uma gestação gemelar:","{""A"": ""Monocori\u00f4nica e monoamni\u00f3tica."", ""B"": ""Monocori\u00f4nica e diamni\u00f3tica."", ""C"": ""Dicori\u00f4nica e monoamni\u00f3tica."", ""D"": ""Dicori\u00f4nica e diamni\u00f3tica."", ""E"": ""Mola hidatiforme parcial com feto coexistente.""}","{""A"": ""Incorreta. O 'sinal de lambda' indica a presen\u00e7a de duas placentas fundidas e uma membrana espessa, o que \u00e9 incompat\u00edvel com uma gesta\u00e7\u00e3o monocori\u00f4nica."", ""B"": ""Incorreta. A gesta\u00e7\u00e3o monocori\u00f4nica diamni\u00f3tica \u00e9 caracterizada pelo 'sinal do T', n\u00e3o pelo 'sinal de lambda'."", ""C"": ""Incorreta. A combina\u00e7\u00e3o 'dicori\u00f4nica e monoamni\u00f3tica' \u00e9 biologicamente imposs\u00edvel."", ""D"": ""Correta. O 'sinal de lambda' corresponde a uma proje\u00e7\u00e3o de tecido cori\u00f4nico (placent\u00e1rio) entre as camadas da membrana que separa os fetos. Esse achado indica que cada feto tem sua pr\u00f3pria placenta, caracterizando uma gesta\u00e7\u00e3o dicori\u00f4nica e, consequentemente, diamni\u00f3tica."", ""E"": ""Incorreta. Embora seja uma condi\u00e7\u00e3o rara em gesta\u00e7\u00f5es, a mola hidatiforme parcial com feto coexistente tem uma apresenta\u00e7\u00e3o ultrassonogr\u00e1fica distinta, com tecido placent\u00e1rio c\u00edstico e an\u00f4malo, n\u00e3o se caracterizando pelo 'sinal de lambda'.""}",D,Ginecologia e Obstetrícia,"Gestação Gemelar, Ultrassonografia Obstétrica, Corionicidade e Amnionicidade, Sinal de Lambda",sus-ba
35fada67-464a-43f2-8f85-0328fcc88e13,"Uma paciente de 62 anos, G3P3, queixa-se de 'bola na vagina'. Ao exame ginecológico, utilizando a classificação do Prolapso de Órgãos Pélvicos (POP-Q), foram obtidas as seguintes medidas: Aa=+2, Ba=+3, C=+6, CVT=9, gh=4, pb=3, Ap=-3, Bp=-3, D=-7. Diante dos dados apresentados, identifique a topografia desse prolapso.","{""A"": ""Prolapso de parede vaginal anterior e posterior."", ""B"": ""Prolapso uterino e prolapso de parede vaginal posterior."", ""C"": ""Prolapso de parede vaginal anterior e prolapso uterino."", ""D"": ""Prolapso de parede vaginal posterior, apenas."", ""E"": ""Prolapso de c\u00fapula vaginal.""}","{""A"": ""Incorreta. Os pontos da parede posterior (Ap e Bp) est\u00e3o em -3, indicando que n\u00e3o h\u00e1 prolapso clinicamente significativo neste compartimento. A parede posterior est\u00e1 bem posicionada."", ""B"": ""Incorreta. Os pontos da parede anterior (Aa e Ba) est\u00e3o positivos, indicando prolapso anterior (cistocele). Portanto, a afirma\u00e7\u00e3o de que h\u00e1 apenas prolapso uterino e posterior est\u00e1 errada."", ""C"": ""Correta. Na classifica\u00e7\u00e3o POP-Q: \n- Pontos Aa e Ba positivos (Aa=+2, Ba=+3) indicam prolapso da parede vaginal anterior (cistocele).\n- Ponto C positivo (C=+6) indica prolapso uterino (descida do colo/\u00fatero).\n- Pontos Ap e Bp negativos (Ap=-3, Bp=-3) indicam que a parede posterior est\u00e1 bem sustentada, sem prolapso (retocele).\n- Portanto, o diagn\u00f3stico topogr\u00e1fico \u00e9 de prolapso do compartimento anterior e apical (uterino)."", ""D"": ""Incorreta. Os pontos Ap e Bp, que avaliam a parede posterior, est\u00e3o negativos, indicando aus\u00eancia de prolapso neste compartimento. Os prolapsos mais evidentes s\u00e3o o anterior e o uterino."", ""E"": ""Incorreta. O prolapso de c\u00fapula vaginal refere-se \u00e0 descida da vagina ap\u00f3s uma histerectomia. Como o ponto C (colo do \u00fatero) foi medido, a paciente possui \u00fatero, tornando este diagn\u00f3stico imposs\u00edvel.""}",C,"Ginecologia e Obstetrícia, Uroginecologia","Prolapso de Órgãos Pélvicos (POP), Sistema POP-Q, Distopia Genital",sus-ba
8a1673d5-c24f-42e4-8ec8-3150ac34c893,"Com base nos dados do sistema de classificação do Prolapso de Órgãos Pélvicos (POP-Q) do caso anterior (Aa=+2, Ba=+3, C=+6), o estadiamento da distopia genital da paciente é:","{""A"": ""I"", ""B"": ""II"", ""C"": ""III"", ""D"": ""IV"", ""E"": ""0""}","{""A"": ""Incorreta. O Est\u00e1dio I \u00e9 definido quando o ponto mais distal do prolapso est\u00e1 a mais de 1 cm para dentro do h\u00edmen (medida < -1 cm). Neste caso, os pontos est\u00e3o muito al\u00e9m do h\u00edmen."", ""B"": ""Incorreta. O Est\u00e1dio II \u00e9 definido quando o ponto mais distal do prolapso est\u00e1 entre -1 cm e +1 cm em rela\u00e7\u00e3o ao h\u00edmen. O ponto Ba (+3) e o ponto C (+6) ultrapassam esse limite."", ""C"": ""Correta. O Est\u00e1dio III \u00e9 diagnosticado quando o ponto mais distal do prolapso est\u00e1 a mais de 1 cm al\u00e9m do plano himenal (medida > +1 cm), mas n\u00e3o representa evers\u00e3o total da vagina. Neste caso, o ponto Ba est\u00e1 em +3 e o ponto C est\u00e1 em +6, ambos satisfazendo o crit\u00e9rio para Est\u00e1dio III. O ponto mais distal \u00e9 C=+6 cm."", ""D"": ""Incorreta. O Est\u00e1dio IV representa a evers\u00e3o completa ou quase completa do trato genital inferior. O crit\u00e9rio num\u00e9rico \u00e9 que o ponto mais distal seja \u2265 (CVT - 2) cm. Neste caso, CVT=9, ent\u00e3o o crit\u00e9rio para est\u00e1dio IV seria C \u2265 7 cm. Como C=+6, o estadiamento \u00e9 III."", ""E"": ""Incorreta. O Est\u00e1dio 0 significa aus\u00eancia de prolapso, com todos os pontos em posi\u00e7\u00f5es normais (ex: Aa, Ap, Ba, Bp em -3 cm e C em posi\u00e7\u00e3o alta).""}",C,"Ginecologia e Obstetrícia, Uroginecologia","Prolapso de Órgãos Pélvicos (POP), Sistema POP-Q, Estadiamento de Distopia Genital",sus-ba
7590ae85-7378-4bb4-bb11-b6bd17e10811,"Para a paciente com prolapso de parede vaginal anterior (cistocele) e prolapso uterino estádio III, sintomática e com prole constituída, a cirurgia mais indicada, visando a correção específica dos defeitos, é a:","{""A"": ""Colporrafia anterior para corrigir a cistocele, associada \u00e0 histerectomia vaginal com fixa\u00e7\u00e3o da c\u00fapula no ligamento sacroespinal para corrigir o prolapso uterino."", ""B"": ""Colporrafia posterior para corrigir a retocele, associada \u00e0 histerectomia vaginal com fixa\u00e7\u00e3o no ligamento sacroespinal."", ""C"": ""Colporrafia posterior e colporrafia anterior, sem abordagem do \u00fatero."", ""D"": ""Colporrafia posterior isolada, sem necessidade de histerectomia."", ""E"": ""Implante de um pess\u00e1rio vaginal em anel.""}","{""A"": ""Correta. A abordagem cir\u00fargica deve ser espec\u00edfica para os defeitos encontrados. O prolapso de parede anterior (cistocele) \u00e9 corrigido com a colporrafia anterior (ou plicatura do assoalho vesical). O prolapso uterino (apical) \u00e9 corrigido com a remo\u00e7\u00e3o do \u00fatero (histerectomia) e a suspens\u00e3o da c\u00fapula vaginal (para prevenir o prolapso de c\u00fapula futuro), sendo a fixa\u00e7\u00e3o no ligamento sacroespinal uma t\u00e9cnica consagrada para este fim."", ""B"": ""Incorreta. A paciente n\u00e3o apresenta prolapso de parede posterior (retocele), conforme os dados do POP-Q. Portanto, a colporrafia posterior n\u00e3o est\u00e1 indicada e n\u00e3o corrigiria os problemas existentes."", ""C"": ""Incorreta. A colporrafia posterior n\u00e3o \u00e9 necess\u00e1ria. Al\u00e9m disso, n\u00e3o abordar o prolapso uterino (apical) resultaria em falha terap\u00eautica, pois o principal componente da 'bola na vagina' (\u00fatero em C=+6) n\u00e3o seria tratado."", ""D"": ""Incorreta. Esta op\u00e7\u00e3o n\u00e3o aborda nenhum dos defeitos da paciente (anterior e apical), sendo totalmente inadequada."", ""E"": ""Incorreta. O pess\u00e1rio \u00e9 uma op\u00e7\u00e3o de tratamento conservador (n\u00e3o cir\u00fargico) para o prolapso de \u00f3rg\u00e3os p\u00e9lvicos. Embora seja uma alternativa v\u00e1lida, especialmente para pacientes sem condi\u00e7\u00f5es cir\u00fargicas, a quest\u00e3o pergunta sobre a 'cirurgia mais indicada'.""}",A,"Ginecologia e Obstetrícia, Uroginecologia","Tratamento Cirúrgico do Prolapso de Órgãos Pélvicos, Colporrafia, Histerectomia Vaginal, Fixação Sacroespinal",sus-ba
7bd0c149-82fd-493d-b603-cb6510a128f9,"Uma paciente de 42 anos procura atendimento com queixa de dor na mama direita há vários meses. Ela nega qualquer relação da dor com o ciclo menstrual. Sobre a mastalgia e sua periodicidade, é correto afirmar:","{""A"": ""A mastalgia c\u00edclica \u00e9 a mais preocupante e frequentemente est\u00e1 associada aos carcinomas lobulares invasivos."", ""B"": ""A mastalgia c\u00edclica \u00e9 caracterizada por dor difusa e bilateral que ocorre na fase l\u00fatea tardia do ciclo menstrual, melhorando com a menstrua\u00e7\u00e3o."", ""C"": ""A mastalgia ac\u00edclica, como a do caso, geralmente \u00e9 unilateral, localizada em um ponto espec\u00edfico, e pode irradiar para ombro ou axila."", ""D"": ""O tratamento da mastalgia ac\u00edclica deve ser iniciado com diur\u00e9ticos e anti-inflamat\u00f3rios para melhora do ingurgitamento."", ""E"": ""Toda mastalgia ac\u00edclica deve ser investigada com bi\u00f3psia, independentemente dos achados de imagem.""}","{""A"": ""Incorreta. A mastalgia c\u00edclica \u00e9 extremamente comum e raramente (menos de 1% dos casos) est\u00e1 associada ao c\u00e2ncer de mama. \u00c9 considerada uma altera\u00e7\u00e3o funcional benigna da mama."", ""B"": ""Incorreta. A descri\u00e7\u00e3o corresponde \u00e0 mastalgia c\u00edclica, por\u00e9m a alternativa da quest\u00e3o se refere a uma afirma\u00e7\u00e3o geral sobre a dor n\u00e3o c\u00edclica. Esta alternativa descreve corretamente a mastalgia c\u00edclica, mas a pergunta pede a afirma\u00e7\u00e3o correta sobre a mastalgia em geral, sendo a alternativa C a mais completa e correta para o tipo de dor do caso (ac\u00edclica). (Nota: A explica\u00e7\u00e3o original era confusa, a explica\u00e7\u00e3o correta foi fornecida aqui). A dor c\u00edclica est\u00e1 classicamente associada \u00e0 fase pr\u00e9-menstrual (fase l\u00fatea), e n\u00e3o fora dela."", ""C"": ""Correta. A mastalgia ac\u00edclica n\u00e3o tem rela\u00e7\u00e3o com o ciclo menstrual. Suas caracter\u00edsticas cl\u00e1ssicas s\u00e3o: ser unilateral, bem localizada ('dor em pontada'), cont\u00ednua ou intermitente, e frequentemente com irradia\u00e7\u00e3o para o membro superior homolateral. Embora geralmente benigna, requer uma investiga\u00e7\u00e3o mais cuidadosa que a c\u00edclica para excluir causas org\u00e2nicas."", ""D"": ""Incorreta. Essa abordagem (diur\u00e9ticos) poderia ser considerada para a mastalgia c\u00edclica severa, onde a reten\u00e7\u00e3o h\u00eddrica tem um papel. Na ac\u00edclica, o tratamento \u00e9 direcionado \u00e0 causa, se identificada, ou ao uso de analg\u00e9sicos e anti-inflamat\u00f3rios t\u00f3picos ou sist\u00eamicos. N\u00e3o h\u00e1 ingurgitamento caracter\u00edstico na dor ac\u00edclica."", ""E"": ""Incorreta. A investiga\u00e7\u00e3o da mastalgia ac\u00edclica come\u00e7a com exame cl\u00ednico e de imagem (mamografia e/ou ultrassonografia). A bi\u00f3psia s\u00f3 \u00e9 indicada se houver um achado suspeito (n\u00f3dulo, microcalcifica\u00e7\u00f5es, etc.) nesses exames. Na aus\u00eancia de achados, a conduta \u00e9 expectante e sintom\u00e1tica.""}",C,"Ginecologia e Obstetrícia, Mastologia","Mastalgia, Mastalgia Cíclica, Mastalgia Acíclica, Doenças Benignas da Mama",sus-ba
